sample	population	time	depth
MZLU107503	Fastan	modern	high
MZLU107504	Fastan	modern	high
MZLU107506	Fastan	modern	high
MZLU107507	Fastan	modern	high
MZLU107454	Fastan	modern	high
MZLU107458	Fastan	modern	high
MZLU107463	Fastan	modern	high
MZLU107466	Fastan	modern	high
MZLU107501	Gotafors	modern	high
MZLU107455	Gotafors	modern	high
MZLU107456	Gotafors	modern	high
MZLU107461	Gotafors	modern	high
MZLU107462	Gotafors	modern	high
MZLU107465	Gotafors	modern	high
MZLU107497	Silvakra	modern	high
MZLU107498	Silvakra	modern	high
MZLU107499	Silvakra	modern	high
MZLU107500	Silvakra	modern	high
MZLU107505	Silvakra	modern	high
MZLU107457	Silvakra	modern	high
MZLU107460	Silvakra	modern	high
MZLU107464	Silvakra	modern	high
CYSE0078	SESkane	modern	high
CYSE0094	SESkane	modern	high
CYSE0096	SESkane	modern	high
CYSE0098	SESkane	modern	high
CYSE0116	SESkane	modern	high
CYSE0198	SESkane	modern	high
CYSE0199	SESkane	modern	high
CYSE0225	Agunnaryd	modern	high
CYSE0226	Oland	modern	high
CYSE0227	Agunnaryd	modern	high
CYSE0228	Agunnaryd	modern	high
CYSE0229	Agunnaryd	modern	high
CYSE0230	Agunnaryd	modern	high
CYSE0231	Oland	modern	high
CYSE0464	Agunnaryd	modern	high
CYSE0470	Agunnaryd	modern	high
CYSE0471	Agunnaryd	modern	high
CYSE0941	Oland	modern	high
CYSE0942	Oland	modern	high
