sample	population	time	depth
MZLU107422	Gosslunda	modern	high
MZLU107423	Branthalla	modern	high
MZLU107424	Aspo	modern	high
MZLU107425	Aspo	modern	high
MZLU107426	Falsterbo	modern	high
MZLU107427	Branthalla	modern	high
MZLU107428	Gosslunda	modern	high
MZLU107429	Branthalla	modern	high
MZLU107430	Branthalla	modern	high
MZLU107431	Branthalla	modern	high
MZLU107434	Gotafors	modern	high
MZLU107435	Gotafors	modern	high
MZLU107436	Gotafors	modern	high
#MZLU107437	FastanN	modern	high
MZLU107438	Gotafors	modern	high
MZLU107439	Falsterbo	modern	high
MZLU107440	Branthalla	modern	high
MZLU107441	Falsterbo	modern	high
MZLU107442	Aspo	modern	high
MZLU107443	Falsterbo	modern	high
MZLU107445	Jordtorpasen	modern	high
MZLU107446	Gosslunda	modern	high
#MZLU107447	RismalaW	modern	high
MZLU107448	Gosslunda	modern	high
MZLU107449	Jordtorpasen	modern	high
MZLU107451	Jordtorpasen	modern	high
MZLU107453	Aspo	modern	high
#MZLU107467	RismalaW	modern	high
MZLU107468	Falsterbo	modern	high
MZLU107469	Gotafors	modern	high
MZLU107470	Gotafors	modern	high
MZLU107471	Jordtorpasen	modern	high
MZLU107472	Aspo	modern	high
MZLU107474	Aspo	modern	high
MZLU107475	Falsterbo	modern	high
MZLU107476	Aspo	modern	high
MZLU107477	Jordtorpasen	modern	high
MZLU107479	Gosslunda	modern	high
MZLU107480	Falsterbo	modern	high
MZLU107481	Branthalla	modern	high
MZLU107482	Gosslunda	modern	high
MZLU107483	Gotafors	modern	high
MZLU107484	Branthalla	modern	high
MZLU107485	Aspo	modern	high
MZLU107486	Gotafors	modern	high
MZLU107487	Jordtorpasen	modern	high
MZLU107488	Gosslunda	modern	high
MZLU107494	Gosslunda	modern	high
PLAR0200	Drakamollan	modern	high
PLAR0202	Drakamollan	modern	high
PLAR0203	Drakamollan	modern	high
PLAR0208	Drakamollan	modern	high
PLAR0211	Drakamollan	modern	high
PLAR0217	Drakamollan	modern	high
PLAR0222	Drakamollan	modern	high
PLAR0226	Drakamollan	modern	high
