sample	population	time	depth
PI028	Tvedora	modern	high
PI029	Tvedora	modern	high
PI030	Tvedora	modern	high
PI031	Tvedora	modern	high
PI032	Tvedora	modern	high
PI033	Tvedora	modern	high
PI034	Tvedora	modern	high
PI035	Tvedora	modern	high
PI036	Tvedora	modern	high
PI100	MaxIV	modern	high
PI101	MaxIV	modern	high
PI102	MaxIV	modern	high
PI103	MaxIV	modern	high
PI104	MaxIV	modern	high
PI105	MaxIV	modern	high
PI106	MaxIV	modern	high
PI107	MaxIV	modern	high
PI108	MaxIV	modern	high
PI200	Havang	modern	high
PI201	Havang	modern	high
PI202	Havang	modern	high
PI203	Havang	modern	high
PI204	Havang	modern	high
PI205	Havang	modern	high
PI206	Havang	modern	high
PI207	Havang	modern	high
PI208	Havang	modern	high
PI413	SandbyBorg	modern	high
PI414	SandbyBorg	modern	high
PI415	SandbyBorg	modern	high
PI417	SandbyBorg	modern	high
PI418	SandbyBorg	modern	high
PI419	SandbyBorg	modern	high
PI420	SandbyBorg	modern	high
PI421	SandbyBorg	modern	high
PI422	SandbyBorg	modern	high
PI501	Ismantorp	modern	high
PI502	Ismantorp	modern	high
PI503	Ismantorp	modern	high
PI504	Ismantorp	modern	high
PI505	Ismantorp	modern	high
PI506	Ismantorp	modern	high
PI507	Ismantorp	modern	high
PI508	Ismantorp	modern	high
PI509	Ismantorp	modern	high
#MZLU107409	Gotafors	modern	low
#MZLU107410	Gotafors	modern	low
#MZLU107411	Gotafors	modern	low
#MZLU107413	Gotafors	modern	low
#MZLU107415	SofiaCont	modern	low
#MZLU107416	SofiaCont	modern	low
#MZLU107417	SofiaCont	modern	low
#MZLU107419	SofiaCont	modern	low
#MZLU107420	SofiaCont	modern	low
#MZLU107421	SofiaCont	modern	low
POIC0313	Sturko	modern	low
POIC0314	Sturko	modern	low
POIC0315	Sturko	modern	low
POIC0316	Sturko	modern	low
POIC0317	Sturko	modern	low
POIC0318	Sturko	modern	low
POIC0319	Sturko	modern	low
POIC0320	Sturko	modern	low
POIC0753	Falsterbo	modern	low
POIC0754	Falsterbo	modern	low
POIC0755	Falsterbo	modern	low
POIC0756	Falsterbo	modern	low
POIC0757	Falsterbo	modern	low
POIC0758	Falsterbo	modern	low
POIC0759	Falsterbo	modern	low
POIC0760	Falsterbo	modern	low
POIC0877	Backakra	modern	low
POIC0878	Backakra	modern	low
POIC0879	Backakra	modern	low
POIC0880	Backakra	modern	low
POIC0881	Backakra	modern	low
POIC0882	Backakra	modern	low
POIC0883	Backakra	modern	low
POIC0884	Backakra	modern	low
POIC0904	Blaberget	modern	low
POIC0905	Blaberget	modern	low
POIC0906	Blaberget	modern	low
POIC0907	Blaberget	modern	low
POIC0908	Blaberget	modern	low
POIC0909	Blaberget	modern	low
POIC0917	Gotafors	modern	low
POIC0918	Gotafors	modern	low
POIC0919	Gotafors	modern	low
POIC0920	Gotafors	modern	low
POIC0921	Gotafors	modern	low
POIC0922	Gotafors	modern	low
POIC0923	Gotafors	modern	low
POIC0924	Gotafors	modern	low
#POIC0929	Ljungby	modern	low
POIC0934	Ljungby	modern	low
POIC0935	Ljungby	modern	low
POIC0936	Ljungby	modern	low
POIC0937	Ljungby	modern	low
POIC0938	Ljungby	modern	low
POIC0939	Ljungby	modern	low
POIC0940	Ljungby	modern	low
